ID,First,Initial,Last,Gender,Born,Country1_ID,Country2_ID,Job1_ID,Job2_ID
1,Albert,,Einstein,M,1879,6,15,17,24
2,Alexandre,fils,Dumas fils,M,1824,5,0,4,18
3,Alfred,,Tennyson,M,1809,14,0,19,0
4,Allen,,Saunders,M,1899,15,0,4,5
5,Andre,,Gide,M,1869,5,0,4,0
6,Ayn,,Rand,F,1905,12,15,4,15
7,Bob,,Marley,M,1945,8,15,12,26
8,C.S.,,Lewis,M,1898,14,0,4,27
9,Charles,,Bukowski,M,1920,6,15,19,4
10,Charles,M.,Schulz,M,1922,15,0,5,0
11,Douglas,,Adams,M,1952,15,0,4,0
12,Dr.,,Seuss,M,1904,15,0,4,8
13,E.E.,,Cummings,M,1894,15,0,19,14
14,Eleanor,,Roosevelt,F,1884,15,0,7,20
15,Elie,,Wiesel,M,1928,11,15,4,20
16,Ernest,,Hemingway,M,1899,15,15,4,0
17,Friedrich,,Nietzsche,M,1884,6,6,15,0
18,Garrison,,Keillor,M,1942,15,0,4,23
19,George,Bernard,Shaw,M,1856,7,15,18,20
20,George,,Carlin,M,1937,15,0,6,1
21,George,,Eliot,F,1819,14,0,4,19
22,George,R.R.,Martin,M,1948,15,0,4,0
23,Harper,,Lee,F,1926,15,0,4,0
24,Haruki,,Murakami,M,1949,9,0,4,0
25,Helen,,Keller,F,1880,15,0,4,20
26,J.D.,,Salinger,M,1919,15,0,4,0
27,J.K.,,Rowling,F,1965,14,0,4,0
28,J.M.,,Barrie,M,1860,14,0,4,0
29,J.R.R.,,Tolkien,M,1892,13,14,4,19
30,James,,Baldwin,M,1924,15,5,4,18
31,Jane,,Austen,F,1775,14,0,4,0
32,Jim,,Henson,M,1936,15,0,22,2
33,Jimi,,Hendrix,M,1942,15,0,12,26
34,John,,Lennon,M,1940,14,15,25,26
35,Jorge,Luis,Borges,M,1899,2,13,4,19
36,Khaled,,Hosseini,M,1965,1,15,4,16
37,Madeleine,,L'Engle,F,1918,15,0,4,19
38,Marilyn,,Monroe,F,1926,15,0,1,11
39,Mark,,Twain,M,1835,15,0,4,0
40,Martin,Luther,King Jr,M,1929,15,0,21,0
41,Mother,,Teresa,F,1910,10,6,13,10
42,Pablo,,Neruda,M,1904,4,0,19,7
43,Ralph,Waldo,Emerson,M,1803,15,0,19,15
44,Stephenie,,Meyer,F,1973,15,0,4,0
45,Steve,,Martin,M,1945,15,0,1,6
46,Suzanne,,Collins,F,1962,15,0,1,0
47,Terry,,Pratchett,M,1948,14,0,4,0
48,Thomas,A.,Edison,M,1847,15,0,9,0
49,W.C.,,Fields,M,1880,15,0,1,6
50,William,,Nicholson,M,1872,14,0,3,14
51,Theodor,,Herzl,M,1869,3,0,4,20
